ID,sha1,annee,largeur,hauteur,url,couleur,taille
0,2013%20Longines%20Global%20Champions%20-%20Lausanne%20-%2014-09-2013%20-%20Emil%20Hallundbaek%20et%20Catoki.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/2013%20Longines%20Global%20Champions%20-%20Lausanne%20-%2014-09-2013%20-%20Emil%20Hallundbaek%20et%20Catoki.jpg,"[206.7372909150552, 198.78419153821164, 183.64939324368763]",petite
1,Gestion%20Bonfire%20%282005%29%20Erp%2C%20North%20Brabant.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Gestion%20Bonfire%20%282005%29%20Erp%2C%20North%20Brabant.jpg,"[98.33992805755369, 109.77562949640324, 64.66659172661896]",petite
2,Darley%20Arabian.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Darley%20Arabian.jpg,"[221.21694088970395, 231.57708714198458, 236.69926873856656]",petite
3,Cal%C3%ADgula%20e%20Incitato.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Cal%C3%ADgula%20e%20Incitato.jpg,"[215.17626752966515, 205.50010787486605, 189.176483279396]",petite
4,Monumento%20Larraguibel.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Monumento%20Larraguibel.jpg,"[131.15595491928119, 124.10447761193977, 117.05909229363269]",petite
5,Eri-Aaroni.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Eri-Aaroni.JPG,,petite
6,Donnerhall%20Zuschnitt.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Donnerhall%20Zuschnitt.jpg,"[173.97654584221746, 171.8263783125193, 158.32257081937183]",petite
7,BreedersCupClassic2007-CurlinPaddock.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/BreedersCupClassic2007-CurlinPaddock.jpg,"[97.5709183673471, 82.59846938775553, 70.00459183673539]",petite
8,Malacara%20horse%20and%20John%20Daniel%20Evans%20%281906%29%20retouched.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Malacara%20horse%20and%20John%20Daniel%20Evans%20%281906%29%20retouched.jpg,"[156.2447806354005, 156.2447806354005, 156.2447806354005]",petite
9,Deep%20Impact%28horse%2920060430R1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Deep%20Impact%28horse%2920060430R1.jpg,"[117.61567164179105, 135.16347947761204, 83.83558768656756]",petite
10,Forego.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Forego.jpg,"[47.523169912692026, 44.05932393104751, 39.309827624805145]",petite
11,CHI%20Gen%C3%A8ve%202013%20-%2020131215%20-%20Steve%20Guerdat%20et%20Nino%20des%20Buissonnets%205.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/CHI%20Gen%C3%A8ve%202013%20-%2020131215%20-%20Steve%20Guerdat%20et%20Nino%20des%20Buissonnets%205.jpg,"[187.76215895610653, 187.52046263344846, 183.6026097271618]",petite
